fix,speed,lat,lon,sats
69385,0,27.206419,-82.451652,6
69386,12.50683688,27.20640583,-82.4517065,6
69387,8.353535717,27.206373,-82.45171417,6
69388,3.588964114,27.20636683,-82.45172883,6
69389,5.49047101,27.2063525,-82.45174767,6
69390,2.497389199,27.20634283,-82.4517505,6
69391,4.696308272,27.20634867,-82.45173033,7
69392,3.971544191,27.20635383,-82.45171333,8
69393,0.520741645,27.206355,-82.45171133,8
69394,0.736439897,27.20635333,-82.45170833,8
69395,1.441868326,27.20635333,-82.45170183,8
69396,1.275551319,27.20635417,-82.45169617,8
69397,0.300650329,27.206354,-82.451695,8
69398,0.368219949,27.2063535,-82.45169367,8
69399,0.766510948,27.20635067,-82.45169483,8
69400,0.601300658,27.20634833,-82.45169467,8
69401,0.300650329,27.20634733,-82.45169467,8
69402,0.425183773,27.20634667,-82.45169633,8
69403,0.368219949,27.20634633,-82.451698,7
69404,0.300650329,27.20634567,-82.45169883,7
69405,0.520741645,27.20634633,-82.451701,7
69406,0.601300658,27.206347,-82.45170367,7
69407,0.766510948,27.206347,-82.45170717,7
69408,0.63777566,27.206347,-82.45171,7
69409,0.63777566,27.20634533,-82.45170783,7
69410,1.257710562,27.20634667,-82.45170233,7
69411,1.18366153,27.20634933,-82.451698,7
69412,1.853333099,27.20635417,-82.45169167,8
69413,2.603708227,27.20636267,-82.45168483,8
69414,2.147072808,27.20637017,-82.45168017,7
69415,1.936804262,27.20636917,-82.4516715,7
69416,0.950739819,27.20636933,-82.45166733,7
69417,1.293145962,27.206367,-82.45166217,7
69418,1.518209742,27.2063615,-82.45165933,7
69419,1.877560704,27.20635467,-82.45165583,7
69420,1.019554871,27.20635117,-82.4516535,7
69421,1.041483291,27.20634717,-82.45165217,7
69422,0.562465262,27.20634533,-82.4516505,7
69423,0.63777566,27.20634633,-82.45164783,7
69424,0.425183773,27.20634733,-82.451649,7
69425,0.300650329,27.20634783,-82.45164967,7
69426,0.300650329,27.20634833,-82.45165033,8
69427,0.212591887,27.206348,-82.45165133,8
69428,0.212591887,27.20634767,-82.45165217,8
69429,0.300650329,27.20634767,-82.45165367,8
69430,0.212591887,27.20634767,-82.45165467,8
69431,0.795446003,27.20634683,-82.45165117,7
69432,4.336040711,27.20634417,-82.45163183,7
69433,8.164746326,27.20633533,-82.45159633,8
69434,10.37134699,27.206311,-82.45155833,8
69435,12.46158441,27.206271,-82.4515245,8
69436,14.91328675,27.20621983,-82.4514895,8
69437,17.06438934,27.206162,-82.45144817,8
69438,18.63183238,27.20610283,-82.45139667,8
69439,19.96553621,27.20604533,-82.45133383,8
69440,20.8513521,27.205993,-82.45126033,8
69441,21.73433648,27.2059455,-82.451178,8
69442,20.87301585,27.20590417,-82.451096,8
69443,19.39136357,27.20586967,-82.4510175,8
69444,17.49464606,27.20583917,-82.45094633,8
69445,15.59908812,27.20581117,-82.45088333,8
69446,15.20737987,27.20578283,-82.4508225,8
69447,16.23650962,27.20575267,-82.4507575,8
69448,17.62718803,27.20572067,-82.4506865,8
69449,18.92664864,27.205688,-82.45060933,8
69450,19.73100104,27.205655,-82.45052833,8
69451,20.54676112,27.20562367,-82.4504425,8
69452,20.77317554,27.20560067,-82.45035233,8
69453,20.81881421,27.2055875,-82.4502595,8
69454,20.96375912,27.205587,-82.45016483,8
69455,20.57423815,27.20559617,-82.4500725,8
69456,20.52034857,27.20561517,-82.44998233,8
69457,20.40217653,27.20564417,-82.44989617,8
69458,20.23311938,27.20568233,-82.4498155,8
69459,19.98816005,27.20572633,-82.44974,8
69460,20.14020628,27.20577517,-82.4496675,8
69461,20.13571772,27.20583,-82.44960067,8
69462,20.00511115,27.20589083,-82.44954167,8
69463,21.08307084,27.20596067,-82.44948783,8
69464,21.76031399,27.2060365,-82.449439,8
69465,22.61382177,27.20612,-82.44939883,8
69466,23.43433836,27.2062085,-82.44936283,8
69467,21.90831336,27.2062915,-82.44933,8
69468,20.04348055,27.2063675,-82.44930017,8
69469,17.87542568,27.206435,-82.44927267,8
69470,15.86909791,27.206495,-82.4492485,8
69471,13.75290418,27.2065455,-82.44922333,8
69472,12.63447014,27.20658533,-82.449188,8
69473,12.84378769,27.20660933,-82.44913667,8
69474,15.22074769,27.20661183,-82.449068,8
69475,17.4739668,27.2065965,-82.448991,8
69476,19.37854052,27.206566,-82.4489105,8
69477,21.35675703,27.20652183,-82.44882783,8
69478,23.08556038,27.20646633,-82.44874433,8
69479,24.47670387,27.20639867,-82.44866417,8
69480,25.53050653,27.20631883,-82.44859183,8
69481,26.392236,27.206227,-82.44853233,8
69482,27.06019985,27.20612533,-82.44848917,8
69483,28.05890775,27.20601483,-82.44846433,8
69484,28.72587638,27.2058995,-82.44846133,8
69485,29.39001138,27.2057825,-82.44847883,8
69486,29.79473583,27.2056675,-82.448516,8
69487,30.48007213,27.20555283,-82.44856417,7
69488,31.10096508,27.20543467,-82.44860967,7
69489,31.57544209,27.20531067,-82.4486395,7
69490,32.0682723,27.2051825,-82.44865367,7
69491,32.21521238,27.20505317,-82.4486575,8
69492,32.33074596,27.20492333,-82.44865633,8
69493,32.09222225,27.2047945,-82.44865233,8
69494,30.40212639,27.2046725,-82.448647,8
69495,29.45145826,27.20455467,-82.4486355,8
69496,28.44921115,27.204442,-82.44861417,8
69497,26.92625422,27.204338,-82.44858083,8
69498,24.92679532,27.204245,-82.44853917,8
69499,22.83062664,27.20416417,-82.4484905,8
69500,20.88924891,27.20409467,-82.44843767,8
69501,18.4869396,27.20403567,-82.448387,8
69502,15.37584689,27.20398583,-82.448346,8
69503,12.30097145,27.203943,-82.44831833,8
69504,9.099330102,27.2039085,-82.44830483,8
69505,6.729465122,27.2038815,-82.4483035,8
69506,4.815100637,27.20386333,-82.448311,8
69507,3.826653957,27.20385183,-82.4483225,7
69508,2.836329533,27.2038455,-82.44833317,8
69509,2.533324703,27.2038405,-82.44834317,8
69510,2.289684691,27.20383633,-82.44835233,8
69511,3.203019734,27.20383317,-82.44836633,8
69512,5.535559622,27.20382317,-82.44838867,8
69513,8.811670837,27.20380317,-82.4484215,8
69514,11.68288649,27.203774,-82.44846283,8
69515,14.19438949,27.2037455,-82.44851833,8
69516,16.71924022,27.20373017,-82.44859183,8
69517,18.81047803,27.20373917,-82.44867617,8
69518,21.30378617,27.2037795,-82.448761,8
69519,23.52961007,27.203841,-82.44884167,8
69520,25.54643379,27.20391533,-82.44892117,8
69521,27.39302348,27.20399483,-82.44900667,8
69522,29.26518629,27.20407683,-82.44910133,8
69523,30.72449258,27.20415817,-82.44920567,8
69524,32.28738183,27.204241,-82.44931783,8
69525,33.44658904,27.20432483,-82.44943583,8
69526,34.59896215,27.20440917,-82.44956,8
69527,35.56707372,27.20449283,-82.44969017,8
69528,36.45563457,27.20457467,-82.44982667,8
69529,37.03006497,27.20465367,-82.44996833,8
69530,37.95048024,27.2047305,-82.45011633,9
69531,38.6397085,27.20480617,-82.45026867,9
69532,39.32375286,27.20488133,-82.45042483,9
69533,39.99496986,27.2049575,-82.45058383,9
69534,40.62730516,27.20503517,-82.45074517,9
69535,41.35663574,27.20511433,-82.45090933,9
69536,41.83201186,27.2051945,-82.45107533,9
69537,42.36556803,27.20527533,-82.45124367,9
69538,42.77536831,27.20535633,-82.451414,9
69539,43.26545225,27.2054365,-82.45158733,9
69540,43.50608684,27.20551733,-82.4517615,9
69541,43.8109533,27.20559967,-82.45193633,9
69542,43.98700292,27.2056835,-82.45211117,9
69543,44.15774523,27.2057685,-82.45228617,9
69544,44.33955338,27.20585367,-82.452462,9
69545,44.5485271,27.2059395,-82.4526385,9
69546,44.88760764,27.206026,-82.45281633,9
69547,45.21864908,27.20611283,-82.45299567,9
69548,45.54331528,27.20619967,-82.45317667,9
69549,45.86863941,27.2062865,-82.45335933,9
69550,46.12215152,27.20637383,-82.453543,8
69551,46.29185278,27.2064615,-82.45372733,9
69552,46.27867069,27.20654933,-82.4539115,9
69553,46.36989199,27.20663767,-82.45409583,9
69554,46.4482866,27.20672583,-82.45428067,9
69555,47.12496109,27.20681533,-82.45446817,9
69556,47.84828972,27.206906,-82.45465867,9
69557,48.41917313,27.20699983,-82.45485017,9
69558,49.00000873,27.20709867,-82.4550415,9
69559,49.2548379,27.20720483,-82.45522917,9
69560,49.66967283,27.20732017,-82.45541217,9
69561,49.99707404,27.207445,-82.455589,8
69562,50.19510089,27.20757917,-82.45575817,8
69563,50.69592203,27.20772317,-82.45592,8
69564,50.94093763,27.207875,-82.45607417,9
69565,51.10480791,27.20803333,-82.456221,9
69566,51.21479302,27.20819783,-82.45635983,9
69567,51.35007287,27.2083685,-82.45649,9
69568,51.32278124,27.20854483,-82.45661,9
69569,51.52930885,27.20872767,-82.456719,9
69570,51.61168849,27.208916,-82.45681633,9
